year,num_disasters
1980,94.0
1981,107.0
1982,127.0
1983,163.0
1984,119.0
1985,130.0
1986,121.0
1987,161.0
1988,171.0
1989,140.0
1990,224.0
1991,184.0
1992,168.0
1993,228.0
1994,213.0
1995,211.0
1996,204.0
1997,233.0
1998,252.0
1999,295.0
2000,362.0
2001,338.0
2002,368.0
2003,314.0
2004,295.0
2005,396.0
2006,364.0
2007,379.0
2008,318.0
2009,318.0
2010,364.0
2011,290.0
2012,317.0
2013,296.0
2014,287.0
2015,356.0
2016,294.0
2017,315.0
2018,284.0
2019,363.0
2020,369.0
2021,394.0
2022,377.0
2023,398.0
2024,360.0
