year,temperature_change
1961,0.1380133333333333
1962,-0.0249111111111111
1963,-0.0180311111111111
1964,-0.0659688888888888
1965,-0.2047955555555555
1966,0.0901422222222222
1967,-0.0895733333333333
1968,-0.1828044444444444
1969,0.1265466666666666
1970,0.0780888888888888
1971,-0.1745688888888888
1972,-0.0578399999999999
1973,0.2034977777777777
1974,-0.1284844444444444
1975,-0.0155511111111111
1976,-0.1942977777777777
1977,0.1456844444444444
1978,0.0606133333333333
1979,0.1906666666666666
1980,0.2114222222222222
1981,0.1468666666666666
1982,0.1422622222222222
1983,0.2874755555555555
1984,0.06156
1985,0.0617066666666666
1986,0.1206311111111111
1987,0.3365377777777777
1988,0.3925333333333333
1989,0.2064622222222222
1990,0.4675822222222222
1991,0.3100088888888889
1992,0.2170977777777777
1993,0.1902577777777777
1994,0.5544577777777778
1995,0.5829422222222223
1996,0.2636622222222222
1997,0.4924844444444444
1998,0.9191288888888888
1999,0.6983288888888889
2000,0.6344177777777777
2001,0.7913511111111111
2002,0.8743111111111111
2003,0.8123422222222222
2004,0.7416844444444444
2005,0.8252533333333333
2006,0.8523155555555556
2007,1.000431111111111
2008,0.7719155555555556
2009,0.88276
2010,1.0610844444444445
2011,0.7917866666666666
2012,0.8792888888888889
2013,0.9010044444444444
2014,1.0822
2015,1.2291777777777777
2016,1.391471111111111
2017,1.2332666666666667
2018,1.2495333333333332
2019,1.384982222222222
2020,1.467328888888889
2021,1.2885244444444446
2022,1.333942222222222
2023,1.5950755555555556
2024,1.89584
