Tarn, Javik
Oxma, Orvek
Oxma, Nuxon
Hemma, Marek
Nuxon, Orvek
Klyra, Javik
Hemma, Mavik
Klyra, Tarn
Blyne, Klyra
Drit, Hemma
Orvek, Klyra
Grell, Elgor
Hemma, Riven
Trusk, Luron
Grell, Tolen
Unel, Velto
Orvek, Marek
Blyne, Mavik
Korra, Marek
Orbis, Klyra
Blyne, Orvek
Blyne, Nuxon
Trusk, Tolen
Oxma, Velto
Trusk, Hemma
Drit, Marek
Orbis, Tarn
Grell, Javik
Riven, Marek
Drit, Mavik
Tolen, Javik
Korra, Nuxon
Oxma, Korra
Tolen, Klyra
Tolen, Blyne
Orbis, Orvek
Yelma, Elgor
Nuxon, Yoril
Tolen, Mavik
Luron, Elgor
Yelma, Javik
Grell, Sorka
Trusk, Mavik
Blyne, Yoril
Trusk, Riven
Orvek, Korra
Orbis, Unel
Sorka, Luron
Orbis, Velto
Yelma, Tarn
Trusk, Sorka
Korra, Yoril
Drit, Yoril
Sorka, Elgor
Sorka, Tolen
Yoril, Mavik
Luron, Riven
Yoril, Marek
Velto, Orvek
Unel, Tarn
Velto, Nuxon
Grell, Yelma
